Test 1: oct_to_bin(725, output) -> Expected: "111010101", Got: "111010101" [PASS]
Test 2: oct_to_bin(345, output) -> Expected: "011100101", Got: "011100101" [PASS]
Test 3: oct_to_bin(777, output) -> Expected: "111111111", Got: "111111111" [PASS]
Test 4: oct_to_bin(0, output) -> Expected: "000", Got: "000" [PASS]
Test 5: oct_to_bin(1, output) -> Expected: "001", Got: "001" [PASS]
Test 6: oct_to_bin(7, output) -> Expected: "111", Got: "111" [PASS]
Test 7: oct_to_bin(10, output) -> Expected: "001000", Got: "001000" [PASS]
Test 8: oct_to_bin(100, output) -> Expected: "001000000", Got: "001000000" [PASS]
Test 9: oct_to_bin(377, output) -> Expected: "011111111", Got: "011111111" [PASS]
Test 10: oct_to_hex(345, output) -> Expected: "E5", Got: "E5" [PASS]
Test 11: oct_to_hex(777, output) -> Expected: "1FF", Got: "1FF" [PASS]
Test 12: oct_to_hex(100, output) -> Expected: "40", Got: "40" [PASS]
Test 13: oct_to_hex(0, output) -> Expected: "0", Got: "0" [PASS]
Test 14: oct_to_hex(1, output) -> Expected: "1", Got: "1" [PASS]
Test 15: oct_to_hex(7, output) -> Expected: "7", Got: "7" [PASS]
Test 16: oct_to_hex(1234, output) -> Expected: "29C", Got: "29C" [PASS]
Test 17: oct_to_hex(7654, output) -> Expected: "FAC", Got: "FAC" [PASS]
Test 18: hex_to_bin(A3, output) -> Expected: "10100011", Got: "10100011" [PASS]
Test 19: hex_to_bin(FF, output) -> Expected: "11111111", Got: "11111111" [PASS]
Test 20: hex_to_bin(1A, output) -> Expected: "00011010", Got: "00011010" [PASS]
Test 21: hex_to_bin(a3, output) -> Expected: "10100011", Got: "10100011" [PASS]
Test 22: hex_to_bin(Ff, output) -> Expected: "11111111", Got: "11111111" [PASS]
Test 23: hex_to_bin(aC, output) -> Expected: "10101100", Got: "10101100" [PASS]
Test 24: hex_to_bin(0, output) -> Expected: "0000", Got: "0000" [PASS]
Test 25: hex_to_bin(1, output) -> Expected: "0001", Got: "0001" [PASS]
Test 26: hex_to_bin(F, output) -> Expected: "1111", Got: "1111" [PASS]
Test 27: hex_to_bin(CAFE, output) -> Expected: "1100101011111110", Got: "1100101011111110" [PASS]
Test 28: hex_to_bin(1234, output) -> Expected: "0001001000110100", Got: "0001001000110100" [PASS]
Test 29: to_sign_magnitude(5, output) -> Expected: "00000000000000000000000000000101", Got: "00000000000000000000000000000101" [PASS]
Test 30: to_sign_magnitude(1, output) -> Expected: "00000000000000000000000000000001", Got: "00000000000000000000000000000001" [PASS]
Test 31: to_sign_magnitude(255, output) -> Expected: "00000000000000000000000011111111", Got: "00000000000000000000000011111111" [PASS]
Test 32: to_sign_magnitude(-5, output) -> Expected: "10000000000000000000000000000101", Got: "10000000000000000000000000000101" [PASS]
Test 33: to_sign_magnitude(-1, output) -> Expected: "10000000000000000000000000000001", Got: "10000000000000000000000000000001" [PASS]
Test 34: to_sign_magnitude(-255, output) -> Expected: "10000000000000000000000011111111", Got: "10000000000000000000000011111111" [PASS]
Test 35: to_sign_magnitude(0, output) -> Expected: "00000000000000000000000000000000", Got: "00000000000000000000000000000000" [PASS]
Test 36: to_ones_complement(5, output) -> Expected: "00000000000000000000000000000101", Got: "00000000000000000000000000000101" [PASS]
Test 37: to_ones_complement(1, output) -> Expected: "00000000000000000000000000000001", Got: "00000000000000000000000000000001" [PASS]
Test 38: to_ones_complement(255, output) -> Expected: "00000000000000000000000011111111", Got: "00000000000000000000000011111111" [PASS]
Test 39: to_ones_complement(-5, output) -> Expected: "11111111111111111111111111111010", Got: "11111111111111111111111111111010" [PASS]
Test 40: to_ones_complement(-1, output) -> Expected: "11111111111111111111111111111110", Got: "11111111111111111111111111111110" [PASS]
Test 41: to_ones_complement(-255, output) -> Expected: "11111111111111111111111100000000", Got: "11111111111111111111111100000000" [PASS]
Test 42: to_ones_complement(0, output) -> Expected: "00000000000000000000000000000000", Got: "00000000000000000000000000000000" [PASS]
Test 43: to_twos_complement(5, output) -> Expected: "00000000000000000000000000000101", Got: "00000000000000000000000000000101" [PASS]
Test 44: to_twos_complement(1, output) -> Expected: "00000000000000000000000000000001", Got: "00000000000000000000000000000001" [PASS]
Test 45: to_twos_complement(255, output) -> Expected: "00000000000000000000000011111111", Got: "00000000000000000000000011111111" [PASS]
Test 46: to_twos_complement(-5, output) -> Expected: "11111111111111111111111111111011", Got: "11111111111111111111111111111011" [PASS]
Test 47: to_twos_complement(-1, output) -> Expected: "11111111111111111111111111111111", Got: "11111111111111111111111111111111" [PASS]
Test 48: to_twos_complement(-255, output) -> Expected: "11111111111111111111111100000001", Got: "11111111111111111111111100000001" [PASS]
Test 49: to_twos_complement(0, output) -> Expected: "00000000000000000000000000000000", Got: "00000000000000000000000000000000" [PASS]
Test 50: to_twos_complement(2147483647, output) -> Expected: "01111111111111111111111111111111", Got: "01111111111111111111111111111111" [PASS]
Test 51: to_twos_complement(-2147483648, output) -> Expected: "10000000000000000000000000000000", Got: "10000000000000000000000000000000" [PASS]
Summary: 51/51 tests passed
